# Zeit in s, Temperatur in °C
0.000000000000000000e+00,9.724045282564520676e+01
2.000000000000000000e+00,7.772770397369842499e+01
4.000000000000000000e+00,6.602756975806715900e+01
6.000000000000000000e+00,5.845158973828996807e+01
8.000000000000000000e+00,5.462130399712268058e+01
1.000000000000000000e+01,5.140462170096360239e+01
1.200000000000000000e+01,4.924565472368099961e+01
1.400000000000000000e+01,4.863264718594648883e+01
1.600000000000000000e+01,4.879197941866364374e+01
1.800000000000000000e+01,4.764875705135692385e+01
2.000000000000000000e+01,4.745255157971975990e+01
2.200000000000000000e+01,4.765672866187460954e+01
2.400000000000000000e+01,4.643330438869959664e+01
2.600000000000000000e+01,4.674875687075517305e+01
2.800000000000000000e+01,4.630192613751954411e+01
3.000000000000000000e+01,4.653451673811954411e+01
